127.0.0.1 - - [13/Jun/2020:20:49:43 +0200] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [13/Jun/2020:20:49:45 +0200] "GET /FitnessTracker/ HTTP/1.1" 200 2215
0:0:0:0:0:0:0:1 - - [13/Jun/2020:20:49:46 +0200] "GET /FitnessTracker/assets/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2020:20:49:46 +0200] "GET /FitnessTracker/assets/css/bootstrap-responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2020:20:49:46 +0200] "GET /FitnessTracker/jquery-1.8.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2020:20:49:46 +0200] "GET /FitnessTracker/assets/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2020:20:50:01 +0200] "GET /FitnessTracker/addGoal.html HTTP/1.1" 200 2404
0:0:0:0:0:0:0:1 - - [13/Jun/2020:20:50:04 +0200] "POST /FitnessTracker/addGoal.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jun/2020:20:50:04 +0200] "GET /FitnessTracker/index.jsp HTTP/1.1" 200 2215
0:0:0:0:0:0:0:1 - - [13/Jun/2020:20:50:06 +0200] "GET /FitnessTracker/addMinutes.html HTTP/1.1" 200 3319
0:0:0:0:0:0:0:1 - - [13/Jun/2020:20:50:06 +0200] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
