127.0.0.1 - - [17/Sep/2020:20:55:13 +0200] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:55:15 +0200] "GET /FitnessTracker/ HTTP/1.1" 200 2215
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:55:15 +0200] "GET /FitnessTracker/assets/css/bootstrap.css HTTP/1.1" 200 121663
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:55:15 +0200] "GET /FitnessTracker/jquery-1.8.3.js HTTP/1.1" 200 266057
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:55:15 +0200] "GET /FitnessTracker/assets/css/bootstrap-responsive.css HTTP/1.1" 200 21709
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:55:15 +0200] "GET /FitnessTracker/assets/js/bootstrap.js HTTP/1.1" 200 56478
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:55:35 +0200] "GET /FitnessTracker/ HTTP/1.1" 200 2215
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:55:35 +0200] "GET /FitnessTracker/assets/css/bootstrap.css HTTP/1.1" 200 121663
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:55:35 +0200] "GET /FitnessTracker/assets/css/bootstrap-responsive.css HTTP/1.1" 200 21709
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:55:35 +0200] "GET /FitnessTracker/assets/js/bootstrap.js HTTP/1.1" 200 56478
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:55:35 +0200] "GET /FitnessTracker/jquery-1.8.3.js HTTP/1.1" 200 266057
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:55:35 +0200] "GET /FitnessTracker/assets/ico/favicon.ico HTTP/1.1" 404 758
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:55:46 +0200] "GET /FitnessTracker/addGoal.html HTTP/1.1" 200 2404
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:55:50 +0200] "POST /FitnessTracker/addGoal.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:55:50 +0200] "GET /FitnessTracker/index.jsp HTTP/1.1" 200 2215
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:55:52 +0200] "GET /FitnessTracker/addMinutes.html HTTP/1.1" 200 3319
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:55:52 +0200] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:55:54 +0200] "POST /FitnessTracker/addMinutes.html HTTP/1.1" 200 3467
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:55:54 +0200] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:56:11 +0200] "GET /FitnessTracker/addMinutes.html?language=es HTTP/1.1" 200 3347
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:56:11 +0200] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:56:13 +0200] "GET /FitnessTracker/addMinutes.html?language=en HTTP/1.1" 200 3331
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:56:13 +0200] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:56:14 +0200] "GET /FitnessTracker/addMinutes.html?language=es HTTP/1.1" 200 3347
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:56:14 +0200] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:56:15 +0200] "GET /FitnessTracker/addMinutes.html?language=en HTTP/1.1" 200 3331
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:56:15 +0200] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:56:16 +0200] "GET /FitnessTracker/addMinutes.html?language=es HTTP/1.1" 200 3347
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:56:16 +0200] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:56:17 +0200] "GET /FitnessTracker/addMinutes.html?language=en HTTP/1.1" 200 3331
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:56:18 +0200] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:56:19 +0200] "GET /FitnessTracker/addMinutes.html?language=es HTTP/1.1" 200 3347
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:56:19 +0200] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:56:20 +0200] "GET /FitnessTracker/addMinutes.html?language=en HTTP/1.1" 200 3331
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:56:20 +0200] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:00:08 +0200] "GET /FitnessTracker/addGoal.html HTTP/1.1" 200 2404
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:00:30 +0200] "GET /FitnessTracker/addMinutes.html?language=en HTTP/1.1" 200 3331
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:00:30 +0200] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:00:31 +0200] "GET /FitnessTracker/addMinutes.html?language=es HTTP/1.1" 200 3347
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:00:31 +0200] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:00:33 +0200] "GET /FitnessTracker/addMinutes.html?language=en HTTP/1.1" 200 3331
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:00:34 +0200] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:00:35 +0200] "GET /FitnessTracker/addMinutes.html?language=es HTTP/1.1" 200 3347
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:00:35 +0200] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:00:37 +0200] "GET /FitnessTracker/addMinutes.html?language=en HTTP/1.1" 200 3331
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:00:37 +0200] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:01:03 +0200] "GET /FitnessTracker/addMinutes.html?language=es HTTP/1.1" 200 3347
