127.0.0.1 - - [12/Oct/2020:09:01:21 +0200] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [12/Oct/2020:09:01:23 +0200] "GET /FitnessTracker/ HTTP/1.1" 200 2214
0:0:0:0:0:0:0:1 - - [12/Oct/2020:09:01:32 +0200] "GET /FitnessTracker/addMinutes.html HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [12/Oct/2020:09:01:32 +0200] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [12/Oct/2020:09:01:53 +0200] "GET /FitnessTracker/addMinutes.html HTTP/1.1" 200 3405
0:0:0:0:0:0:0:1 - - [12/Oct/2020:09:01:54 +0200] "GET /FitnessTracker/assets/css/bootstrap.css HTTP/1.1" 200 121663
0:0:0:0:0:0:0:1 - - [12/Oct/2020:09:01:54 +0200] "GET /FitnessTracker/jquery-1.8.3.js HTTP/1.1" 200 266057
0:0:0:0:0:0:0:1 - - [12/Oct/2020:09:01:54 +0200] "GET /FitnessTracker/assets/js/bootstrap.js HTTP/1.1" 200 56478
0:0:0:0:0:0:0:1 - - [12/Oct/2020:09:01:54 +0200] "GET /FitnessTracker/assets/css/bootstrap-responsive.css HTTP/1.1" 200 21709
0:0:0:0:0:0:0:1 - - [12/Oct/2020:09:01:54 +0200] "GET /FitnessTracker/activities.json;jsessionid=8E448A023A39277A18249F642B3189A3?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [12/Oct/2020:09:01:54 +0200] "GET /FitnessTracker/assets/ico/favicon.ico HTTP/1.1" 404 758
0:0:0:0:0:0:0:1 - - [12/Oct/2020:09:01:57 +0200] "GET /FitnessTracker/addMinutes.html?language=en HTTP/1.1" 200 3329
0:0:0:0:0:0:0:1 - - [12/Oct/2020:09:01:57 +0200] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [12/Oct/2020:09:02:00 +0200] "POST /FitnessTracker/addMinutes.html?language=en HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [12/Oct/2020:09:02:00 +0200] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [12/Oct/2020:09:02:09 +0200] "POST /FitnessTracker/addMinutes.html?language=en HTTP/1.1" 200 3330
0:0:0:0:0:0:0:1 - - [12/Oct/2020:09:02:09 +0200] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [12/Oct/2020:09:03:33 +0200] "GET /FitnessTracker/addMinutes.html?language=es HTTP/1.1" 200 3345
0:0:0:0:0:0:0:1 - - [12/Oct/2020:09:03:33 +0200] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [12/Oct/2020:09:03:35 +0200] "GET /FitnessTracker/addMinutes.html?language=en HTTP/1.1" 200 3329
0:0:0:0:0:0:0:1 - - [12/Oct/2020:09:03:35 +0200] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [12/Oct/2020:10:53:56 +0200] "GET /FitnessTracker/addMinutes.html?language=en HTTP/1.1" 200 3329
0:0:0:0:0:0:0:1 - - [12/Oct/2020:10:53:57 +0200] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
